Investor Name,Fund from Fund Master,Target Customer,Industry Final,Vertical Final,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Type,Min check size,Max Check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Andrew Nerlinger,Vesalius Ventures,,,,Venture Capital,www.vesaliusventures.com,"Africa, Asia, Middle East","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.50,"Houston, TX",www.vesaliusventures.com,Under $5 Billion,Yes,9,Over 5X and under 10X,Revenue driven returns,Weak,Outside Reliance,Days,5,30%,Medium,67%,No
Jeffrey B. Maters,Network Ventures,,,,Venture Capital,www.networkventures.vc,Midwest,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.15,"Chicago, IL",www.networkventures.vc,Under $5 Billion,,,,,,,,,,,,
Sean Dempsey,Merus Capital,,,,Venture Capital,www.meruscap.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.20,$2.50,"Palo Alto, CA",www.meruscap.com,$5B to $10B,,,,,,,,,,,,
Marc Yagjian,Origin Partners,,,,Venture Capital,www.originpartners.com,"Northeast, Texas","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.20,$0.50,"Hillsborough, NJ",www.originpartners.com,$5B to $10B,,,,,,,,,,,,
Michael Lousteau,I2BF Global Ventures,,,,Venture Capital,www.i2bf.com,"Europe, Israel, South Korea, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$1.00,"Beverly Hills, CA",www.i2bf.com,Over $10 Billion,,,,,,,,,,,,
Stephen Thomas Reeders,MVM Partners,,,,Growth/Expansion,www.mvm.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$10.00,$50.00,"London, United Kingdom",www.mvm.com,Over $10 Billion,,,,,,,,,,,,
Vasudev Badarinarayan Kulkarni,CourtsideVC,,,,Venture Capital,www.courtsidevc.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$2.50,"New York, NY",www.courtsidevc.com,Over $10 Billion,,,,,,,,,,,,
Bruce C. Robertson,H.I.G. BioHealth Partners,,,,Venture Capital,www.higbio.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$5.00,$40.00,"Miami, FL",www.higbio.com,$5B to $10B,,,,,,,,,,,,
George N. Ugras,Adams Capital Management,,,,Venture Capital,www.acm.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$3.00,"Sewickley, PA",www.acm.com,$5B to $10B,,,,,,,,,,,,
Avshalom Horan,Bridge Investment Fund,,,,Venture Capital,www.bridgefundllc.com,"Israel, Ohio","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.25,$1.00,,www.bridgefundllc.com,$5B to $10B,,,,,,,,,,,,
Edgar Hardless,Singtel Innov8,,,,Corporate Venture Capital,innov8.singtel.com,"Asia, Australia, Europe, Israel, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$2.21,"Singapore, Singapore",innov8.singtel.com,Over $10 Billion,,,,,,,,,,,,
Tripp Baird,The Builders Fund,,,,Growth/Expansion,www.thebuildersfund.com,United States,"Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$0.30,$1.50,"San Francisco, CA",www.thebuildersfund.com,Over $10 Billion,,,,,,,,,,,,
Janelle Goulard,Pangaea Ventures,,,,Venture Capital,www.pangaeaventures.com,"Canada, United States","Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$0.40,$0.50,"Vancouver, Canada",www.pangaeaventures.com,Over $10 Billion,,,,,,,,,,,,
Sara Eshelman,Spero Ventures,,,,Venture Capital,www.spero.vc,United States,"Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$0.20,$0.40,"Redwood City, CA",www.spero.vc,$5B to $10B,,,,,,,,,,,,
Guenia Gawendo,Telefónica Innovation Ventures,,,,Corporate Venture Capital,,"Europe, Israel, United States","Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$0.02,$0.71,"Madrid, Spain",,Under $5 Billion,,,,,,,,,,,,
Amelia Gandara,Nationwide Ventures,,,,Corporate Venture Capital,nationwideventures.com,"Israel, United States","Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$0.10,$0.50,"Columbus, OH",nationwideventures.com,Over $10 Billion,,,,,,,,,,,,
Troy Henikoff,MATH Venture Partners,,,,Venture Capital,www.mathventurepartners.com,"Canada, United States","Pre-SEED,Series A",Convertible Debt,$0.01,$1.00,"New York, NY",www.mathventurepartners.com,Over $10 Billion,,,,,,,,,,,,
Drew Graham,Ballast Point Ventures,,,,Venture Capital,www.ballastpointventures.com,"Southeast, Texas","Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$0.50,$1.20,"Tampa, FL",www.ballastpointventures.com,$5B to $10B,,,,,,,,,,,,
,AIG Capital Partners,,,,PE/Buyout,www.aigcapitalpartners.com,United States,"Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$0.05,$10.00,"New York, NY",www.aigcapitalpartners.com,Over $10 Billion,,,,,,,,,,,,
Wayne L. Hunter,Harbert Growth Partners,,,,Growth/Expansion,https://harbert.net/tag/harbert-growth-partners/,"DC Metro, Mid Atlantic, Midwest, Mountain, New York Metro, South, Southeast","Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$0.50,$1.00,"Richmond, VA",,Over $10 Billion,,,,,,,,,,,,
Hemi Zucker,OCV Partners,,,,Venture Capital,www.ocvpartners.com,,"Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$1.00,$20.00,,www.ocvpartners.com,Over $10 Billion,,,,,,,,,,,,
John Hollenbach,Blue Diamond Capital,,,,PE/Buyout,www.bluediamondcat.com,United States,"Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$0.20,$20.00,"Raleigh, NC",www.bluediamondcat.com,Under $5 Billion,,,,,,,,,,,,
Karin Lagerlund,HarbourVest Partners,,,,PE/Buyout,www.harbourvest.com,"Africa, Americas, Asia, Europe, Middle East, Oceania, United States","Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$0.50,$10.00,"Boston, MA",www.harbourvest.com,Under $5 Billion,,,,,,,,,,,,
Sarah Guemouri,Atomico,,,,Venture Capital,www.atomico.com,"Asia, Europe, North America, South America","Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$1.00,$6.00,"London, United Kingdom",www.atomico.com,Under $5 Billion,,,,,,,,,,,,
Michael S. Jeon,Solasta Ventures,,,,Venture Capital,www.solasta-ventures.com,"Canada, United Kingdom, United States","Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$1.00,$10.00,,www.solasta-ventures.com,$5B to $10B,,,,,,,,,,,,
Erica Kathleen Herberg,AlpInvest Partners,,,,PE/Buyout,www.alpinvest.com,"Asia, Canada, Eastern Europe, Middle East, Northern Europe, South America, United States, Western Europe","Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$0.50,$20.00,"Amsterdam, Netherlands",www.alpinvest.com,$5B to $10B,,,,,,,,,,,,
Charles De Viel Castel,Stelac Capital Partners,,,,Growth/Expansion,www.stelac.com,United States,"Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$0.03,$0.10,"New York, NY",www.stelac.com,$5B to $10B,,,,,,,,,,,,
Jonathan Jonas,JVC Investment Partners,,,,Venture Capital,www.jvcmanagement.com,,"Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$0.50,$40.00,,www.jvcmanagement.com,Under $5 Billion,,,,,,,,,,,,
Alex Prescot,Eight Roads,,,,Venture Capital,www.eightroads.com,"Asia, Europe, North America","Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$3.00,$1.00,"London, United Kingdom",www.eightroads.com,Over $10 Billion,,,,,,,,,,,,
Mathieu Chabran,Tikehau Capital (PAR: TKO),,,,Asset Manager,www.tikehaucapital.com,,"Pre-SEED,Series A","Bonds,Convertible Debt,Debt,Debt Refinancing",$11.30,$282.49,"Paris, France",www.tikehaucapital.com,Under $5 Billion,,,,,,,,,,,,
William Hudson,Noro-Moseley Partners,,,,Venture Capital,www.noromoseley.com,United States,"Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$0.60,$1.00,"Atlanta, GA",www.noromoseley.com,Over $10 Billion,,,,,,,,,,,,
Rakesh Sehgal,GE Capital,,,,Lender/Debt Provider,www.gecapital.com,"Africa, East Asia, Mid Atlantic, Middle East, Midwest, Mountain, Northeast, Northwest, Southeast, Southwest, West Coast, Western Europe","Pre-SEED,Series A",Loan,$0.30,$1.50,"Norwalk, CT",www.gecapital.com,Over $10 Billion,,,,,,,,,,,,
,Dolphin Equity Partners,,,,Venture Capital,www.dolphinequity.com,"Canada, United States, Western Europe","Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$0.25,$0.50,"New York, NY",www.dolphinequity.com,Over $10 Billion,,,,,,,,,,,,
Saul Richter,Rittenhouse Ventures,,,,Venture Capital,www.rittenhouseventures.com,Mid Atlantic,"Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$1.00,$3.00,,www.rittenhouseventures.com,Under $5 Billion,,,,,,,,,,,,
Mathieu Chabran,Tikehau Capital (PAR: TKO),,,,Asset Manager,www.tikehaucapital.com,,"Pre-SEED,Series A","Bonds,Convertible Debt,Debt,Debt Refinancing",$11.30,$282.49,"Paris, France",www.tikehaucapital.com,Over $10 Billion,,,,,,,,,,,,
Dave Cremons,Atlas Capital Partners,,,,Venture Capital,www.acpartners.us,,"Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$0.25,$1.00,,www.acpartners.us,$5B to $10B,,,,,,,,,,,,
George Arida,30Ventures,,,,Venture Capital,www.30ventures.net,Midwest,"Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$0.25,$1.00,,www.30ventures.net,Under $5 Billion,,,,,,,,,,,,
Richard Wilmot,Philips Health Technology Venture Fund,,,,Corporate Venture Capital,www.ventures.philips.com,"Eastern Europe, United States, Western Europe","Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$0.23,$0.56,"Amsterdam, Netherlands",www.ventures.philips.com,Under $5 Billion,No,6,2X - 5X,"Acquisition,Liquidation",On Demand,Via Due Diligence Committee,Days,1,20%,High,34%,Yes
Christian Follmann,Hercules Capital (NYS: HTGC),,,,Lender/Debt Provider,www.htgc.com,United States,"Pre-SEED,Series A","Debt,Debt Refinancing,Loan,Credit Line",$1.00,$75.00,,www.htgc.com,Over $10 Billion,,,,,,,,,,,,
Yang Yigang,WaterStar Capital,,,,Venture Capital,www.wscapitalus.com,United States,"Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$1.00,$5.00,,www.wscapitalus.com,Under $5 Billion,,,,,,,,,,,,
Sion Balass,The Group Ventures,,,,Venture Capital,www.thegroup.ventures,"Canada, Israel",Pre-SEED,"Convertible Debt,SAFE,Debt",$0.08,$0.24,"Toronto, Canada",www.thegroup.ventures,$5B to $10B,,,,,,,,,,,,
Jon Francisco Toscano,Trivella Investimentos,,,,Venture Capital,www.trivella.net,Brazil,Pre-SEED,"Convertible Debt,SAFE,Debt",$0.04,$0.19,"Itu, Brazil",www.trivella.net,Over $10 Billion,,,,,,,,,,,,
Matthieu de Chanville,Alliance Ventures,,,,Corporate Venture Capital,https://alliancernm.com/home-alliance/alliance-ventures/,,Pre-SEED,"Convertible Debt,SAFE,Debt",$1.00,$30.00,"Amsterdam, Netherlands",,$5B to $10B,,,,,,,,,,,,
Pedro Machado,Alpha4 Ventures,,,,Venture Capital,www.alpha4ventures.com,"Argentina, Belize, Colombia, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama",Pre-SEED,"Convertible Debt,SAFE,Debt",$0.01,$0.30,"Miami, FL",www.alpha4ventures.com,Under $5 Billion,,,,,,,,,,,,
Pankaj Makkar,Bertelsmann India Investments,,,,Venture Capital,www.biifund.com,,Pre-SEED,"Convertible Debt,SAFE,Debt",$50.00,$60.00,"Noida, India",www.biifund.com,$5B to $10B,,,,,,,,,,,,
Timothy Keane,Golden Angels Investors,,,,Angel Group,www.goldenangelsinvestors.com,United States,Pre-SEED,"Convertible Debt,SAFE,Debt",$0.02,$0.10,"Brookfield, WI",www.goldenangelsinvestors.com,Over $10 Billion,,,,,,,,,,,,
Kenneth Benson Sawyer,Saints Capital,,,,Secondary Buyer,www.saintscapital.com,"Asia, Europe, United States",,"Convertible Debt,SAFE,Debt",$0.50,$250.00,"Denver, CO",www.saintscapital.com,Under $5 Billion,,,,,,,,,,,,
Lucas Arzola,Parallel18,,,,Venture Capital,www.parallel18.com,"Europe, South America, United States",,Grant,$0.04,$0.08,"San Juan, PR",www.parallel18.com,Over $10 Billion,,,,,,,,,,,,
John B. Breen,Sanabil Investments,,,,Asset Manager,www.sanabil.com,,,"Convertible Debt,SAFE,Debt",$25.00,$250.00,"Riyadh, Saudi Arabia",www.sanabil.com,$5B to $10B,,,,,,,,,,,,
Brad Garlinghouse,Brad Garlinghouse,,,,Angel (individual), ,"408, 650, California",,"Convertible Debt,SAFE,Debt",$0.01,$0.25,"San Francisco, CA", ,Over $10 Billion,,,,,,,,,,,,
Ross Jacobson,3311 Ventures,,,,Venture Capital,www.3311ventures.com, ,,"Convertible Debt,SAFE,Debt",$0.10,$1.00,"Los Angeles, CA",www.3311ventures.com,Under $5 Billion,,,,,,,,,,,,
Steve Brotman,Silicon Alley Venture Partners,,,,Venture Capital,www.savp.com,"Mid Atlantic, New England, Northeast, Southeast",,"Convertible Debt,SAFE,Debt",$0.03,$1.00,"New York, NY",www.savp.com,$5B to $10B,,,,,,,,,,,,
Mohan Kumar,Avataar Venture Partners,,,,Venture Capital,www.avataar.vc,"India, Southeast Asia",,"Convertible Debt,SAFE,Debt",$10.00,$30.00,"Bangalore, India",www.avataar.vc,Under $5 Billion,,,,,,,,,,,,
Benjamin Narasin,Benjamin Narasin,,,,Angel (individual), ,"408, 650, New York",,"Convertible Debt,SAFE,Debt",$0.01,$0.25,"San Francisco, CA", ,Over $10 Billion,,,,,,,,,,,,
Nasir Bin Olu Dara Jones,Nasir Jones,,,,Angel (individual),nasir.wun.io,"408, New York, Southern California",,"Convertible Debt,SAFE,Debt",$0.03,$0.25,"Los Angeles, CA",nasir.wun.io,$5B to $10B,,,,,,,,,,,,
Christopher Sacca,Christopher Sacca,,,,Angel (individual), ,"408, 650, California",,"Convertible Debt,SAFE,Debt",$0.03,$0.50,"Truckee, CA", ,Under $5 Billion,,,,,,,,,,,,
Raymond Tonsing,Raymond Tonsing,,,,Angel (individual),www.angel.co/tonsing, ,,"Convertible Debt,SAFE,Debt",$0.25,$2.00,"San Francisco, CA",www.angel.co/tonsing,Under $5 Billion,,,,,,,,,,,,
,AQUITI Gestion,,,,Venture Capital,www.aquiti.fr,France,,"Convertible Debt,SAFE,Debt",$0.16,$1.55,"Bordeaux, France",www.aquiti.fr,Over $10 Billion,,,,,,,,,,,,
Naval Ravikant,Naval Ravikant,,,,Angel (individual), https://www.navalmanack.com/,"California, Illinois, Japan, Mauritius, New York, Ontario,   Oregon, United Kingdom",,"Convertible Debt,SAFE,Debt",$0.05,$0.50,"San Francisco, CA", ,Under $5 Billion,,,,,,,,,,,,
Lee X. Zapis,Zapis Capital Group,,,,Family Office,www.zapiscapital.com,"Midwest, Ohio",,"Convertible Debt,SAFE,Debt",$0.05,$1.00,"Westlake, OH",www.zapiscapital.com,$5B to $10B,,,,,,,,,,,,
Jason Chapnik,Intercap,,,,Merchant Banking Firm,www.intercap.com,"Canada, North America, United States",,"Convertible Debt,SAFE,Debt",$3.85,$57.77,"Toronto, Canada",www.intercap.com,$5B to $10B,,,,,,,,,,,,
Matthew C. Le Merle,Fifth Era,,,,Accelerator/Incubator,www.fifthera.com,California,,"Convertible Debt,SAFE,Debt",$0.05,$0.50,"San Francisco, CA",www.fifthera.com,Over $10 Billion,,,,,,,,,,,,
Pejman Nozad,Pejman Nozad,,,,Angel (individual), https://pear.vc/people/pejman-nozad/,"California, Europe",,"Convertible Debt,SAFE,Debt",$0.03,$1.00,"Palo Alto, CA", ,Under $5 Billion,,,,,,,,,,,,
George Zachary,George Zachary,,,,Angel (individual), ,"California, New York",,"Convertible Debt,SAFE,Debt",$0.05,$0.10,"San Francisco, CA", ,Under $5 Billion,,,,,,,,,,,,
Dejan Roljič,Acceleration Business City,,,,Accelerator/Incubator,www.abc-accelerator.com,"Eastern Europe, Southern Europe",,"Convertible Debt,SAFE,Debt",$0.00,$0.03,"Ljubljana, Slovenia",www.abc-accelerator.com,Over $10 Billion,,,,,,,,,,,,
Warren Osborn,Osborn Companies,,,,Venture Capital,www.osbornco.com, ,,"Convertible Debt,SAFE,Debt",$0.25,$5.00,"Provo, UT",www.osbornco.com,$5B to $10B,,,,,,,,,,,,
Scott Banister,Scott Banister,,,,Angel (individual),http://www.banister.net/,California,,"Convertible Debt,SAFE,Debt",$0.05,$1.00,"San Francisco, CA",,Over $10 Billion,,,,,,,,,,,,
Warren Osborn,Osborn Companies,,,,Venture Capital,www.osbornco.com, ,,"Convertible Debt,SAFE,Debt",$0.25,$5.00,"Provo, UT",www.osbornco.com,Under $5 Billion,,,,,,,,,,,,
Anthony Saleh,Anthony Saleh,,,,Angel (individual), ,"408, 650, California, New York",,"Convertible Debt,SAFE,Debt",$0.03,$0.25,"Los Angeles, CA", ,Over $10 Billion,,,,,,,,,,,,
Russell Lewis,GrowthX,,,,Venture Capital,www.growthx.com, ,,"Convertible Debt,SAFE,Debt",$0.25,$1.00,"San Francisco, CA",www.growthx.com,Under $5 Billion,,,,,,,,,,,,
Jay H. Eum,GFT Ventures ,,,,Angel (individual), ,California,,"Convertible Debt,SAFE,Debt",$0.01,$0.10,"San Francisco, CA", ,Over $10 Billion,,,,,,,,,,,,
Bobby Goodlatte,Bobby Goodlatte,,,,Angel (individual), ,"408, 650, California",,"Convertible Debt,SAFE,Debt",$0.01,$0.10,"San Francisco, CA", ,Over $10 Billion,,,,,,,,,,,,
Martin Bleijendaal,Nedamco Capital,,,,Growth/Expansion,www.nedamcocapital.com,"Europe, United States",,"Convertible Debt,SAFE,Debt",$3.28,$10.93,"Bloemendaal, Netherlands",www.nedamcocapital.com,Under $5 Billion,,,,,,,,,,,,
Larry D. Maschhoff,NewGate Capital Partners,,,,Growth/Expansion,www.newgatecapitalpartners.com,United States,,"Convertible Debt,SAFE,Debt",$0.05,$2.00,"Winter Park, FL",www.newgatecapitalpartners.com,$5B to $10B,,,,,,,,,,,,
Aydin Senkut,Felicis Ventures,,,,Angel (individual), https://www.felicis.com/,"Brazil, British Columbia, California, India, Israel,   Massachusetts, New York, Ontario",,"Convertible Debt,SAFE,Debt",$0.01,$1.00,"Atherton, CA", ,Under $5 Billion,,,,,,,,,,,,
Chris Yeh,Chris Yeh,,,,Angel (individual),www.chrisyeh.com,California,,"Convertible Debt,SAFE,Debt",$0.01,$0.03,"San Francisco, CA",www.chrisyeh.com,$5B to $10B,,,,,,,,,,,,
Rupert Ralston,IT Ventures,,,,Venture Capital,www.itventures.co.nz,"Europe, United States",,"Convertible Debt,SAFE,Debt",$0.01,$0.10,"London, United Kingdom",www.itventures.co.nz,Over $10 Billion,,,,,,,,,,,,
,Bridgescale,,,,Venture Capital,www.bridgescale.com, ,,"Convertible Debt,SAFE,Debt",$3.00,$8.00,"Menlo Park, CA",www.bridgescale.com,Under $5 Billion,,,,,,,,,,,,
William Quigley,Clearstone Venture Partners,,,,Venture Capital,www.clearstone.com,Southern California,,"Convertible Debt,SAFE,Debt",$2.00,$20.00,"Santa Monica, CA",www.clearstone.com,Under $5 Billion,,,,,,,,,,,,
Keith Rabois,OpenDoor,,,,Angel (individual), ,"California, New York",,"Convertible Debt,SAFE,Debt",$0.04,$0.10,"San Francisco, CA", ,Over $10 Billion,,,,,,,,,,,,
Pejman Nozad,Pear VC,,,,Angel (individual), https://pear.vc/people/pejman-nozad/,"California, Europe",,"Convertible Debt,SAFE,Debt",$0.03,$1.00,"Palo Alto, CA", ,Under $5 Billion,,,,,,,,,,,,
John R. Black,H.I.G. Growth Partners,,,,Growth/Expansion,www.higgrowth.com, ,,"Convertible Debt,SAFE,Debt",$0.50,$7.50,"Miami, FL",www.higgrowth.com,Under $5 Billion,,,,,,,,,,,,
Brett Crosby,Brett Crosby,,,,Angel (individual), ,California,,"Convertible Debt,SAFE,Debt",$0.03,$0.05,"San Francisco, CA", ,$5B to $10B,,,,,,,,,,,,
Robert Molke,Leader Ventures,,,,Lender/Debt Provider,www.leaderventures.com,United States,,"Convertible Debt,SAFE,Debt",$1.00,$5.00,"Palo Alto, CA",www.leaderventures.com,Over $10 Billion,,,,,,,,,,,,
Hasso Plattner,Hasso Plattner Ventures,,,,Venture Capital,www.hp-ventures.com,"Europe, United States",,"Convertible Debt,SAFE,Debt",$5.00,$30.00,"Potsdam, Germany",www.hp-ventures.com,$5B to $10B,,,,,,,,,,,,
Jay Lance,PeakSpan Capital,,,,Growth/Expansion,www.peakspancapital.com,"North America, United States",,"Convertible Debt,SAFE,Debt",$5.00,$30.00,"San Mateo, CA",www.peakspancapital.com,$5B to $10B,,,,,,,,,,,,
Garry Tan,Garry Tan,,,,Angel (individual), ,"New York, North America, United Kingdom",,"Convertible Debt,SAFE,Debt",$0.03,$0.50,"San Francisco, CA", ,$5B to $10B,,,,,,,,,,,,
Kevin Croy,9Mile Labs,,,,Venture Capital,www.9milelabs.com,United States,,"Convertible Debt,SAFE,Debt",$0.05,$0.10,"Seattle, WA",www.9milelabs.com,$5B to $10B,,,,,,,,,,,,
Benjamin Ling, Bling Capital,,,,Angel (individual), ,"408, 650, California, England, New York, Utah",,"Convertible Debt,SAFE,Debt",$0.25,$10.00,"San Francisco, CA", ,Under $5 Billion,,,,,,,,,,,,
Robert Wang,Soma Ventures,,,,Venture Capital,www.soma.ventures, ,,"Convertible Debt,SAFE,Debt",$0.03,$0.15,"San Francisco, CA",www.soma.ventures,$5B to $10B,,,,,,,,,,,,
Jason Peterson,GoDigital Media Group,,,,Corporation,www.godigitalmg.com,"Africa, Americas, Asia, Canada, Europe, Middle East, Oceania,   United States",,"Convertible Debt,SAFE,Debt",$0.25,$250.00,"Marina del Rey, CA",www.godigitalmg.com,Over $10 Billion,,,,,,,,,,,,
Todd Stavish,SRI Ventures,,,,Corporate Venture Capital,https://www.sri.com/ventures/,"Americas, Europe, United States",,"Convertible Debt,SAFE,Debt",$0.00,$0.25,"Menlo Park, CA", ,Under $5 Billion,,,,,,,,,,,,
Ariel Arrieta,Ariel Arrieta,,,,Angel (individual),ArielArrieta.com,"408, 650, Argentina, Chile, Spain",,"Convertible Debt,SAFE,Debt",$0.01,$0.50,Argentina,ArielArrieta.com,$5B to $10B,,,,,,,,,,,,
Nanpeng Shen,Sequoia Capital China,,,,Venture Capital,www.sequoiacap.cn,China,,"Convertible Debt,SAFE,Debt",$0.10,$50.00,"Beijing, China",www.sequoiacap.cn,$5B to $10B,,,,,,,,,,,,
Scott Banister,Banister Capital,,,,Angel (individual),,California,,"Convertible Debt,SAFE,Debt",$0.05,$1.00,"San Francisco, CA",,Over $10 Billion,,,,,,,,,,,,
Alec Oxenford,Alec Oxenford,,,,Angel (individual), ,"Argentina, New York",,"Convertible Debt,SAFE,Debt",$0.01,$0.01,Argentina, ,$5B to $10B,,,,,,,,,,,,
Mark Christopher Mullen,Mark Mullen,,,,Angel (individual), https://www.bonfirevc.com/team/mark-mullen,"California, New York",,"Convertible Debt,SAFE,Debt",$0.10,$0.50,"Los Angeles, CA", ,Under $5 Billion,,,,,,,,,,,,
Samuel P. Rector,M/C Partners,,,,PE/Buyout,www.mcpartners.com,"Canada, Europe, United States",,"Convertible Debt,SAFE,Debt",$15.00,$40.00,"Boston, MA",www.mcpartners.com,Under $5 Billion,,,,,,,,,,,,
Michele Appendino,AME Ventures,,,,Venture Capital,www.ameventures.it,Italy,,"Convertible Debt,SAFE,Debt",$1.09,$1.64,"Milan, Italy",www.ameventures.it,Over $10 Billion,,,,,,,,,,,,
M. Patrick McCloskey,Aeterna Capital Partners,,,,Family Office,www.aeternacp.com,"Europe, North America",,"Convertible Debt,SAFE,Debt",$2.00,$10.00,"New York, NY",www.aeternacp.com,Under $5 Billion,,,,,,,,,,,,
Oliver B. Libby,H/L Ventures,,,,Venture Capital,www.h-l.vc,United States,,"Convertible Debt,SAFE,Debt",$0.01,$1.50,"New York, NY",www.h-l.vc,Over $10 Billion,,,,,,,,,,,,
Young G. Song,Booga Ventures,,,,Angel Group,www.boogaventures.com,"East Asia, United States",,"Convertible Debt,SAFE,Debt",$0.03,$0.25,"San Mateo, CA",www.boogaventures.com,Over $10 Billion,,,,,,,,,,,,
Zachary Abrams,Stratim Capital,,,,Secondary Buyer,www.stratimcapital.com, ,,"Convertible Debt,SAFE,Debt",$2.00,$10.00,"San Francisco, CA",www.stratimcapital.com,Under $5 Billion,,,,,,,,,,,,
Keith Rabois,Keith Rabois,,,,Angel (individual), ,"California, New York",,"Convertible Debt,SAFE,Debt",$0.04,$0.10,"San Francisco, CA", ,$5B to $10B,,,,,,,,,,,,
Brenda McDaniel,Meritus Ventures,,,,Venture Capital,www.meritusventures.com,"Alabama, Arkansas, Georgia, Kentucky, Mississippi, North   Carolina, Ohio, South Carolina, Tennessee, Virginia, West Virginia",,"Convertible Debt,SAFE,Debt",$0.25,$2.50,"London, KY",www.meritusventures.com,Over $10 Billion,,,,,,,,,,,,
Ramesh Haridas,Ramesh Haridas,,,,Angel (individual), ,"408, 650, California, England, New York",,"Convertible Debt,SAFE,Debt",$0.03,$0.30,"London, United Kingdom", ,Over $10 Billion,,,,,,,,,,,,
Philip Kaplan,Philip Kaplan,,,,Angel (individual), ,"408, 650",,"Convertible Debt,SAFE,Debt",$0.01,$0.05,"San Francisco, CA", ,Under $5 Billion,,,,,,,,,,,,
Sebastian Vidal,Parallel18,,,,Venture Capital,www.parallel18.com,"Europe, South America, United States",,Grant,$0.04,$0.08,"San Juan, PR",www.parallel18.com,Under $5 Billion,,,,,,,,,,,,
,Difference Capital Financial,,,,Venture Capital, ,Canada,,"Convertible Debt,SAFE,Debt",$2.00,$10.00,"Toronto, Canada", ,Over $10 Billion,,,,,,,,,,,,
David L. Balter,David Balter,,,,Angel (individual), ,"California, Massachusetts, New York",,"Convertible Debt,SAFE,Debt",$0.01,$0.25,"Boston, MA", ,Over $10 Billion,,,,,,,,,,,,
Allan Kaplan,KG Investments,,,,Family Office,www.kginvest.net, ,,"Convertible Debt,SAFE,Debt",$0.20,$2.00,"Scottsdale, AZ",www.kginvest.net,Over $10 Billion,,,,,,,,,,,,
,AQUITI Gestion,,,,Venture Capital,www.aquiti.fr,France,,"Convertible Debt,SAFE,Debt",$0.16,$1.55,"Bordeaux, France",www.aquiti.fr,Under $5 Billion,,,,,,,,,,,,
Kenneth Benson Sawyer,Saints Capital,,,,Secondary Buyer,www.saintscapital.com,"Asia, Europe, United States",,"Convertible Debt,SAFE,Debt",$0.50,$250.00,"Denver, CO",www.saintscapital.com,Over $10 Billion,,,,,,,,,,,,
Andrew Anker,Andrew Anker,,,,Angel (individual), ,"408, 650, California, New York",,"Convertible Debt,SAFE,Debt",$0.05,$1.00,"Half Moon Bay, CA", ,$5B to $10B,,,,,,,,,,,,
Maurice Khawam,NexTFund Capital,,,,Growth/Expansion,www.nextfund-capital.com,"France, United States",,"Convertible Debt,SAFE,Debt",$0.78,$3.10,"Paris, France",www.nextfund-capital.com,$5B to $10B,,,,,,,,,,,,
