Investor Name,Fund from Fund Master,Industry,Industry Copy,Vertical,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Type,Max Check size,Min check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,% Diversity in Managers/LPs,Age of Fund/Investor Since (Years),Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
George M. Weiss,Beechtree Capital,"Business Products and Services (B2B),Information Technology",,"SaaS,TMT",Venture Capital,www.beechtreecapital.com,"Midwest, Northwest, West Coast","Add-on,Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",10.00,1.00,"Scottsdale, AZ",www.beechtreecapital.com,,,,,,,,,,,,,,,
Martin Philipp,Business Development Bank of Canada,"Agriculture,Capital Markets/Institutions,Commercial Services,IT Services,Other Information Technology,Pharmaceuticals and Biotechnology,Semiconductors,Software",,"Artificial Intelligence & Machine Learning,B2B Payments,CleanTech,Digital Health,FinTech,Industrials,Internet of Things,Life Sciences,LOHAS & Wellness,Mobile,SaaS,TMT",Corporation,www.bdc.ca,"Americas, Canada, United States","Acquisition Financing,Early Stage,Late Stage,Buy-out,Mezzanine,PE Growth/Expansion,Seed","Loan,Debt",19.82,2.38,"Montreal, Canada",www.bdc.ca,,,,,,,,,,,,,,,
Nick Thompson,B Capital Group,"Commercial Transportation,Consumer Products and Services (B2C),Healthcare,Insurance,Other Financial Services,Software",,"Artificial Intelligence & Machine Learning,Cybersecurity,FinTech,HealthTech",Venture Capital,www.bcapgroup.com,"Asia, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",50.00,10.00,"Manhattan Beach, CA",www.bcapgroup.com,,,,,,,,,,,,,,,
Karim Nurani,BayAngels,Software,,TMT,Angel Group,www.bayangels.com,California,"Angel Round,Early Stage,Seed","Convertible Debt,SAFE,Debt",0.20,0.03,"San Francisco, CA",www.bayangels.com,,,,,,,,,,,,,,,
Leonard A. Batterson,Batterson Venture Capital,Software,,"Life Sciences,TMT",Venture Capital,www.battersonvc.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",5.00,0.03,"Chicago, IL",www.battersonvc.com,,,,,,,,,,,,,,,
Fernando Spnola,Base Partners,Software,,"CloudTech & DevOps,SaaS,TMT",Venture Capital,www.basepar.com,"Central America, South America","Late Stage,PE Growth/Expansion","Convertible Debt,SAFE,Debt",50.00,1.00,"Sao Paulo, Brazil",www.basepar.com,,,,,,,,,,,,,,,
Peter Lee,Baroda Ventures,Software,,"AdTech,Big Data,Cryptocurrency/Blockchain,E-Commerce",Venture Capital,www.barodaventures.com,California,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",5.00,0.10,"Beverly Hills, CA",www.barodaventures.com,,,,,,,,,,,,,,,
Sonja Markova,Band of Angels,"Business Products and Services (B2B),Computer Hardware,Energy Equipment,Healthcare Devices and Supplies,Healthcare Technology Systems,Other Energy,Other Information Technology,Semiconductors",,"AgTech,Artificial Intelligence & Machine Learning,AudioTech,Augmented Reality,Autonomous cars,B2B Payments,CleanTech,Construction Technology,Cryptocurrency/Blockchain,Cybersecurity,Digital Health,E-Commerce,EdTech,eSports,FinTech,FoodTech,HealthTech,Internet of Things,Life Sciences,Mobile Commerce,Mobility Tech,Mortgage Tech,Real Estate Technology,Restaurant Technology,Ridesharing,SaaS,Space Technology,Virtual Reality",Angel Group,www.bandangels.com,California,"Angel Round,Seed","Convertible Debt,SAFE,Debt",0.75,0.30,"San Francisco, CA",www.bandangels.com,,,,,,,,,,,,,,,
Serdar Topak,Band of Angels,"Business Products and Services (B2B),Computer Hardware,Energy Equipment,Healthcare Devices and Supplies,Healthcare Technology Systems,Other Energy,Other Information Technology,Semiconductors",,"AgTech,Artificial Intelligence & Machine Learning,AudioTech,Augmented Reality,Autonomous cars,B2B Payments,CleanTech,Construction Technology,Cryptocurrency/Blockchain,Cybersecurity,Digital Health,E-Commerce,EdTech,eSports,FinTech,FoodTech,HealthTech,Internet of Things,Life Sciences,Mobile Commerce,Mobility Tech,Mortgage Tech,Real Estate Technology,Restaurant Technology,Ridesharing,SaaS,Space Technology,Virtual Reality",Angel Group,www.bandangels.com,California,"Angel Round,Seed","Convertible Debt,SAFE,Debt",0.75,0.30,"San Francisco, CA",www.bandangels.com,,,,,,,,,,,,,,,
Ian Sobieski,Band of Angels,"Business Products and Services (B2B),Computer Hardware,Energy Equipment,Healthcare Devices and Supplies,Healthcare Technology Systems,Other Energy,Other Information Technology,Semiconductors",,"AgTech,Artificial Intelligence & Machine Learning,AudioTech,Augmented Reality,Autonomous cars,B2B Payments,CleanTech,Construction Technology,Cryptocurrency/Blockchain,Cybersecurity,Digital Health,E-Commerce,EdTech,eSports,FinTech,FoodTech,HealthTech,Internet of Things,Life Sciences,Mobile Commerce,Mobility Tech,Mortgage Tech,Real Estate Technology,Restaurant Technology,Ridesharing,SaaS,Space Technology,Virtual Reality",Angel Group,www.bandangels.com,California,"Angel Round,Seed","Convertible Debt,SAFE,Debt",0.75,0.30,"San Francisco, CA",www.bandangels.com,,,,,,,,,,,,,,,
Drew Graham,Ballast Point Ventures,"Commercial Services,Consumer Products and Services (B2C),Healthcare,Other IT Services,Software",,"SaaS,TMT",Venture Capital,www.ballastpointventures.com,"Southeast, Texas","Early Stage,Late Stage,PE Growth/Expansion","Convertible Debt,SAFE,Debt",12.00,5.00,"Tampa, FL",www.ballastpointventures.com,,,,,,,,,,,,,,,
Ajay Agarwal,Bain Capital Ventures,"Commercial Services,Software",,"Cybersecurity,E-Commerce,FinTech,HealthTech,Mobile Commerce,SaaS",Venture Capital,www.baincapitalventures.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",100.00,1.00,"Boston, MA",www.baincapitalventures.com,,,,,,,,,,,,,,,
Arlan Hamilton,Backstage Capital,Software,,"Mobile,SaaS,TMT",Venture Capital,www.backstagecapital.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.10,0.03,"Los Angeles, CA",www.backstagecapital.com,,,,,,,,,,,,,,,
Bárbara Kunde Minuzzi,BABEL Ventures,Biotechnology,,"Cannabis,Digital Health,HealthTech,Life Sciences,TMT",Venture Capital,www.babel.ventures,"Americas, United States","Bridge,Early Stage,Seed","Convertible Debt,SAFE,Debt",3.00,0.10,"San Francisco, CA",www.babel.ventures,,,,,,,,,,,,,,,
Samuel McKay,Axiom Venture Partners,"Communications and Networking,Pharmaceuticals and Biotechnology,Software",,"Life Sciences,Oncology,TMT",Venture Capital,www.axiomventures.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",5.00,1.00,"East Hartford, CT",www.axiomventures.com,,,,,,,,,,,,,,,
Sébastien Loubry,AXA Venture Partners,"Healthcare,Insurance,Software",,"Cybersecurity,Digital Health,FinTech,InsurTech,Marketing Tech,SaaS,TMT",Venture Capital,www.axavp.com,"Europe, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",20.00,1.00,"Paris, France",www.axavp.com,,,,,,,,,,,,,,,
Gary L. Shields,AvTech Ventures,Pharmaceuticals and Biotechnology,,"Life Sciences,TMT",Venture Capital,www.avtechventures.com,"Japan, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",4.00,1.00,"Rancho Santa Fe, CA",www.avtechventures.com,,,,,,,,,,,,,,,
Israel Y. Ganot,Aviv Growth Partners,"Healthcare Devices and Supplies,Healthcare Technology Systems,Logistics,Software",,"Artificial Intelligence & Machine Learning,Augmented Reality,Autonomous cars,Cryptocurrency/Blockchain,Cybersecurity,Digital Health,HealthTech,Internet of Things,Robotics and Drones,Virtual Reality",Venture Capital,www.avivgrowth.com,"Israel, United States","Early Stage,Joint Venture,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.50,0.25,"Boston, MA",www.avivgrowth.com,,,,,,,,,,,,,,,
Stephen Tomlin,Avalon Ventures,"Other Healthcare,Other Information Technology,Pharmaceuticals and Biotechnology,Software",,"Life Sciences,SaaS,TMT",Venture Capital,www.avalon-ventures.com,"Northeast, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",15.00,1.50,"San Diego, CA",www.avalon-ventures.com,,,,,,,,,,,,,,,
Rodrigo Ocejo,Avalancha Ventures,"Other Financial Services,Software",,TMT,Venture Capital,www.avalancha.ventures,"Mexico, South America","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.05,"Mexico City, Mexico",www.avalancha.ventures,,,,,,,,,,,,,,,
Austin Walne,ARTIS Ventures,"Healthcare,Software",,"Advanced Manufacturing,Artificial Intelligence & Machine Learning,Augmented Reality,Digital Health,FoodTech,HealthTech,Life Sciences,Oncology,Robotics and Drones,TMT,Wearables & Quantified Self",Venture Capital,www.av.co,United States,"Early Stage,Seed","Convertible Debt,SAFE,Debt",15.00,1.00,"San Francisco, CA",www.av.co,,,,,,,,,,,,,,,
B. Jefferson Clark,The Aurora Funds,"Communications and Networking,Healthcare Devices and Supplies,Healthcare Services,Pharmaceuticals and Biotechnology,Software",,"Big Data,CleanTech,Digital Health,HealthTech,Life Sciences,LOHAS & Wellness,Manufacturing,Nanotechnology,Oncology,TMT",Venture Capital,www.aurorafunds.com,"Mid Atlantic, Southeast","Early Stage,Seed","Convertible Debt,SAFE,Debt",8.00,0.05,"Cary, NC",www.aurorafunds.com,,,,,,,,,,,,,,,
Laurie Menoud,At One Ventures,"Animal Husbandry,Apparel and Accessories,Aquaculture,Chemicals and Gases,Commercial Products,Commercial Transportation,Computer Hardware,Construction (Non-Wood),Consumer Durables,Consumer Non-Durables,Containers and Packaging,Cultivation,Energy Equipment,Forestry,Metals,Minerals and Mining,Other Agriculture,Other Business Products and Services,Other Consumer Products and Services,Other Energy,Other Information Technology,Other Materials,Semiconductors,Software,Textiles,Transportation,Utilities",,"3D Printing,Advanced Manufacturing,AgTech,Artificial Intelligence & Machine Learning,Autonomous cars,CleanTech,Climate Tech,Construction Technology,FoodTech,Impact Investing,Manufacturing,Mobility Tech,Nanotechnology,Robotics and Drones",Venture Capital,www.atoneventures.com,"Africa, Americas, Asia, Canada, Europe, Middle East, Oceania, United States","Early Stage,Seed","Convertible Debt,SAFE,Debt",3.00,0.50,"San Francisco, CA",www.atoneventures.com,,,,,,,,,,,,,,,
Sarah Guemouri,Atomico,"Communications and Networking,Consumer Durables,Energy,Forestry,Logistics,Other Commercial Services,Other Consumer Products and Services,Other Financial Services,Services (Non-Financial),Software",,"Advanced Manufacturing,AgTech,Artificial Intelligence & Machine Learning,eSports,FinTech,Gaming,HealthTech,Industrials,Internet of Things,Micro-Mobility,Mobile,Mobility Tech,SaaS,TMT",Venture Capital,www.atomico.com,"Asia, Europe, North America, South America","Early Stage,Late Stage","Convertible Debt,SAFE,Debt",60.00,10.00,"London, United Kingdom",www.atomico.com,,,,,,,,,,,,,,,
Hunter Babcock,Atland Ventures,Software,,"AdTech,Digital Health,E-Commerce,EdTech,HR Tech,Marketing Tech,SaaS",Venture Capital,www.atlandventures.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.05,0.03,"Minneapolis, MN",www.atlandventures.com,,,,,,,,,,,,,,,
Sourish Ghosh,Atland Ventures,Software,,"AdTech,Digital Health,E-Commerce,EdTech,HR Tech,Marketing Tech,SaaS",Venture Capital,www.atlandventures.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.05,0.03,"Minneapolis, MN",www.atlandventures.com,,,,,,,,,,,,,,,
Mitchell Rosich,Athenian Venture Partners,"Communications and Networking,IT Services,Medical Supplies,Other Healthcare,Other Healthcare Technology Systems,Other Information Technology,Pharmaceuticals,Software",,"Big Data,Cybersecurity,HealthTech,Mobile",Venture Capital,www.athenianvp.com,"Midwest, Southeast, Southern California","Buy-out,Early Stage,IPO,M&A,Seed","Convertible Debt,SAFE,Debt",8.00,3.00,"Athens, OH",www.athenianvp.com,,,,,,,,,,,,,,,
Brian Epp,Atami Capital,Software,,TMT,Venture Capital,www.atamicapital.co.uk, ,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",26.20,0.13,"Douglas, United Kingdom",www.atamicapital.co.uk,,,,,,,,,,,,,,,
Andrew Ryan,Astralabs,Software,,"3D Printing,AdTech,Advanced Manufacturing,AgTech,Artificial Intelligence & Machine Learning,AudioTech,Augmented Reality,Autonomous cars,B2B Payments,Beauty,Big Data,Cannabis,Car-Sharing,CleanTech,Climate Tech,CloudTech & DevOps,Construction Technology,Cryptocurrency/Blockchain,Cybersecurity,Digital Health,E-Commerce,EdTech,Ephemeral Content,eSports,FemTech,FinTech,FoodTech,Gaming,HealthTech,HR Tech,Impact Investing,Industrials,Infrastructure,InsurTech,Internet of Things,Legal Tech,Life Sciences,LOHAS & Wellness,Manufacturing,Marketing Tech,Micro-Mobility,Mobile,Mobile Commerce,Mobility Tech,Mortgage Tech,Nanotechnology,Oil & Gas,Oncology,Pet Technology,Real Estate Technology,Restaurant Technology,Ridesharing,Robotics and Drones,SaaS,Supply Chain Tech,TMT,Virtual Reality,Wearables & Quantified Self",Accelerator/Incubator,www.astralabs.com,"Africa, Americas, Asia, Canada, Europe, Middle East, Oceania, United States","Angel Round,Early Stage,Late Stage,M&A,Reverse Merger,Seed",Crowdfunding,0.05,0.25,"Austin, TX",www.astralabs.com,,,,,,,,,,,,,,,
Ryan Rafols,Astralabs,Software,,"3D Printing,AdTech,Advanced Manufacturing,AgTech,Artificial Intelligence & Machine Learning,AudioTech,Augmented Reality,Autonomous cars,B2B Payments,Beauty,Big Data,Cannabis,Car-Sharing,CleanTech,Climate Tech,CloudTech & DevOps,Construction Technology,Cryptocurrency/Blockchain,Cybersecurity,Digital Health,E-Commerce,EdTech,Ephemeral Content,eSports,FemTech,FinTech,FoodTech,Gaming,HealthTech,HR Tech,Impact Investing,Industrials,Infrastructure,InsurTech,Internet of Things,Legal Tech,Life Sciences,LOHAS & Wellness,Manufacturing,Marketing Tech,Micro-Mobility,Mobile,Mobile Commerce,Mobility Tech,Mortgage Tech,Nanotechnology,Oil & Gas,Oncology,Pet Technology,Real Estate Technology,Restaurant Technology,Ridesharing,Robotics and Drones,SaaS,Supply Chain Tech,TMT,Virtual Reality,Wearables & Quantified Self",Accelerator/Incubator,www.astralabs.com,"Africa, Americas, Asia, Canada, Europe, Middle East, Oceania, United States","Angel Round,Early Stage,Late Stage,M&A,Reverse Merger,Seed",Crowdfunding,0.05,0.25,"Austin, TX",www.astralabs.com,,,,,,,,,,,,,,,
Hikaru Saito,Astellas Venture Management,Pharmaceuticals and Biotechnology,,Life Sciences,Corporate Venture Capital,www.astellasventure.com,"Asia, Europe, North America, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",10.00,5.00,"Brisbane, CA",www.astellasventure.com,,,,,,,,,,,,,,,
,Aslanoba Capital,Software,,TMT,Venture Capital,www.aslanobacapital.com,Turkey,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",2.07,0.26,"Istanbul, Turkey",www.aslanobacapital.com,,,,,,,,,,,,,,,
James H. Simmons,Asland Capital Partners,"Buildings and Property,Other Business Products and Services,Other Consumer Products and Services,Other Information Technology,Other Services (B2C Non-Financial),Real Estate Services (B2C),Software",,"Construction Technology,Real Estate Technology",Real Estate,www.aslandcap.com,United States,"Angel Round,Early Stage,Seed","Convertible Debt,SAFE,Debt",0.25,0.10,"New York, NY",www.aslandcap.com,,,,,,,,,,,,,,,
Amit Shah,Artiman Ventures,"Commercial Products,Commercial Services,Financial Services,Healthcare,Materials and Resources,Services (Non-Financial),Software",,"Artificial Intelligence & Machine Learning,Augmented Reality,B2B Payments,Big Data,CleanTech,CloudTech & DevOps,Construction Technology,Cryptocurrency/Blockchain,Cybersecurity,Digital Health,E-Commerce,EdTech,FinTech,FoodTech,HealthTech,Industrials,Infrastructure,InsurTech,Internet of Things,Legal Tech,Life Sciences,Marketing Tech,Mobile,Mobility Tech,Nanotechnology,Real Estate Technology,Robotics and Drones,SaaS,Space Technology,TMT,Virtual Reality",Venture Capital,www.artiman.com,"Canada, India, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",25.00,2.00,"Palo Alto, CA",www.artiman.com,,,,,,,,,,,,,,,
Paige Craig,Arena Ventures,"Business/Productivity Software,Education and Training Services (B2B),Educational and Training Services (B2C),Financial Services",,"B2B Payments,E-Commerce,EdTech,FinTech,Mobile,TMT",Venture Capital,www.arenavc.com,"California, New York","Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",50.00,0.50,"Los Angeles, CA",www.arenavc.com,,,,,,,,,,,,,,,
Donald E. Hall,Arcturus Capital,Pharmaceuticals and Biotechnology,,TMT,Venture Capital,www.arcturusvc.com,Southern California,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",2.00,1.00,"Pasadena, CA",www.arcturusvc.com,,,,,,,,,,,,,,,
Nils Regge,Apollo Health Ventures,"Healthcare Devices and Supplies,Healthcare Services,Healthcare Technology Systems,Other Healthcare,Pharmaceuticals and Biotechnology,Software",,"Digital Health,HealthTech,Life Sciences,Oncology",Venture Capital,www.apollo.vc,"Europe, United States","Early Stage,Seed","Convertible Debt,SAFE,Debt",20.00,1.00,"Berlin, Germany",www.apollo.vc,,,,,,,,,,,,,,,
Armando Pauker,Apex Venture Partners,"Commercial Services,Computer Hardware,Consumer Products and Services (B2C),IT Services,Software",,"Big Data,CloudTech & DevOps,Cybersecurity,Digital Health,HealthTech,Industrials,Internet of Things,Life Sciences,Manufacturing,SaaS,TMT",Venture Capital,www.apexvc.com,"North America, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",6.00,0.02,"Chicago, IL",www.apexvc.com,,,,,,,,,,,,,,,
Prasad Vanga,Anthill Capital Ventures,"Movies,Music and Entertainment",,"Artificial Intelligence & Machine Learning,Augmented Reality,FinTech,HealthTech,Internet of Things,Life Sciences,SaaS,Virtual Reality",Venture Capital,www.anthillventures.com,India,"Bridge,Early Stage","Convertible Debt,SAFE,Debt",0.94,0.05,"Hyderabad, India",www.anthillventures.com,,,,,,,,,,,,,,,
Claudia L. Llanos,Anthem Venture Partners,"Communications and Networking,Computer Hardware,IT Services,Media,Semiconductors,Software",,"AdTech,Big Data,E-Commerce,Internet of Things,Marketing Tech,Mobile,SaaS,TMT,Virtual Reality",Venture Capital,www.anthemvp.com,"California, Southern California","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",5.00,1.00,"Santa Monica, CA",www.anthemvp.com,,,,,,,,,,,,,,,
Maarten Goossens,Anterra Capital,"Agriculture,Application Software,Automation/Workflow Software,Beverages,Business/Productivity Software,Database Software,Financial Software,Food Products,Healthcare Devices and Supplies,Other Software,Pharmaceuticals and Biotechnology,Vertical Market Software",,"AgTech,Climate Tech,FoodTech,HealthTech,Impact Investing,Life Sciences,LOHAS & Wellness,Pet Technology,SaaS",Venture Capital,www.anterracapital.com,"Asia, Canada, Europe, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",20.00,1.00,"Amsterdam, Netherlands",www.anterracapital.com,,,,,,,,,,,,,,,
Gil Dibner,Angular Ventures,"Commercial Services,IT Services,Software",,"AgTech,Artificial Intelligence & Machine Learning,Infrastructure,SaaS",Venture Capital,www.angularventures.com,"Europe, Israel","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.33,0.13,"London, United Kingdom",www.angularventures.com,,,,,,,,,,,,,,,
Hernán Fernández,Angel Ventures Mexico,"Agriculture,Communications and Networking,Healthcare Services,IT Services,Other Financial Services,Other Healthcare,Other Information Technology,Retail,Software",,"E-Commerce,FinTech,FoodTech,HealthTech,Mobility Tech",Venture Capital,www.angelventures.vc,"Chile, Colombia, Mexico, Peru","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",10.00,1.00,"Mexico City, Mexico",www.angelventures.vc,,,,,,,,,,,,,,,
Gordon T. Wyatt,Accuitive Medical Ventures,Healthcare Devices and Supplies,,Life Sciences,Venture Capital,www.amvpartners.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",9.00,1.00,"Duluth, GA",www.amvpartners.com,,,,,,,,,,,,,,,
Paul Bricault,Amplify.LA,"Healthcare,Retail,Software",,"E-Commerce,Gaming,Manufacturing,Mobile,SaaS,TMT",Venture Capital,www.amplify.la,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.25,0.10,"Los Angeles, CA",www.amplify.la,,,,,,,,,,,,,,,
David J. Parker,Ampersand Capital Partners,"Commercial Products,Communications and Networking,Healthcare Devices and Supplies,Healthcare Services,Healthcare Technology Systems,Pharmaceuticals and Biotechnology,Software",,"Digital Health,Internet of Things,Life Sciences,Manufacturing,TMT",Growth/Expansion,www.ampersandcapital.com,"Europe, North America","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",100.00,10.00,"Wellesley, MA",www.ampersandcapital.com,,,,,,,,,,,,,,,
Shantnu Sharma,AMD Ventures,Software,,"Mobile,SaaS,TMT",Corporate Venture Capital,www.amdventures.com, ,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",100.00,1.00,"Santa Clara, CA",www.amdventures.com,,,,,,,,,,,,,,,
Anne Margaret Glover,Amadeus Capital Partners,"Media,Other Consumer Products and Services,Other Information Technology,Semiconductors,Software,Telecommunications Service Providers",,"AdTech,Artificial Intelligence & Machine Learning,Augmented Reality,Cybersecurity,Digital Health,FinTech,HealthTech,Infrastructure,Internet of Things,SaaS,Virtual Reality",Venture Capital,www.amadeuscapital.com,"Asia, Europe, Israel, South America, United States","Early Stage,Late Stage,PE Growth/Expansion,Secondary Transaction - Private,Seed","Convertible Debt,SAFE,Debt",41.34,0.34,"London, United Kingdom",www.amadeuscapital.com,,,,,,,,,,,,,,,
Erica Kathleen Herberg,AlpInvest Partners,"Aerospace and Defense,Capital Markets/Institutions,Chemicals and Gases,Commercial Services,Consumer Durables,Consumer Non-Durables,Healthcare Services,Insurance,Media,Other Financial Services,Pharmaceuticals and Biotechnology,Restaurants,Hotels and Leisure,Semiconductors,Services (Non-Financial),Software",,"AdTech,CleanTech,Industrials,Life Sciences,LOHAS & Wellness,Oil & Gas,Oncology,TMT",PE/Buyout,www.alpinvest.com,"Asia, Canada, Eastern Europe, Middle East, Northern Europe, South America, United States, Western Europe","Buy-out,Early Stage,Late Stage,Mezzanine,PE Growth/Expansion","Convertible Debt,SAFE,Debt",200.00,5.00,"Amsterdam, Netherlands",www.alpinvest.com,,,,,,,,,,,,,,,
Steve Brotman,Alpha Partners,"Application Software,BPO/Outsource Services,Consulting Services (B2B),Database Software,Household Products,Internet Software,IT Consulting and Outsourcing,Media,Other Consumer Durables,Other Consumer Non-Durables,Other Consumer Products and Services,Other Information Technology,Other Software,Personal Products,Recreational Goods,Social/Platform Software,Software Development Applications",,"AdTech,E-Commerce,Mobile,SaaS",Venture Capital,www.alphapartners.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",50.00,5.00,"New York, NY",www.alphapartners.com,,,,,,,,,,,,,,,
Pedro Machado,Alpha4 Ventures,"Logistics,Retail,Software",,"FinTech,Internet of Things,Marketing Tech,Ridesharing,SaaS",Venture Capital,www.alpha4ventures.com,"Argentina, Belize, Colombia, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama",Early Stage,"Convertible Debt,SAFE,Debt",3.00,0.10,"Miami, FL",www.alpha4ventures.com,,,,,,,,,,,,,,,
Steve Hale,Album VC,"Healthcare Services,Software",,"Life Sciences,Oncology,SaaS,TMT",Venture Capital,www.album.vc,"California, Mountain","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",2.50,0.50,"Lehi, UT",www.album.vc,,,,,,,,,,,,,,,
,AIG Capital Partners,"Healthcare Services,Other Financial Services,Software",,"Life Sciences,Oncology,TMT",PE/Buyout,www.aigcapitalpartners.com,United States,"Early Stage,Late Stage,PE Growth/Expansion","Convertible Debt,SAFE,Debt",100.00,0.50,"New York, NY",www.aigcapitalpartners.com,,,,,,,,,,,,,,,
Carlos Ochoa,AI8 Ventures,"Business Products and Services (B2B),Consumer Products and Services (B2C),Financial Services,Software",,"AdTech,Artificial Intelligence & Machine Learning,B2B Payments,Big Data,Cybersecurity,Digital Health,eSports,FinTech,HealthTech,InsurTech,Internet of Things,Life Sciences,Mobile,Oncology,SaaS,TMT",Venture Capital,www.ai8ventures.com,"Argentina, Bolivia, Brazil, Chile, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, Guatemala, Haiti, Honduras, Mexico, Nicaragua, Panama, Paraguay, Peru, Sint Maarten, United States, Uruguay, Venezuela","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.50,0.25,"San Francisco, CA",www.ai8ventures.com,,,,,,,,,,,,,,,
Spencer Stensrude,Ag Ventures Alliance,"Agriculture,Business Products and Services (B2B),Financial Services,Software",,AgTech,Venture Capital,www.agventuresalliance.com,United States,"Angel Round,Early Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.00,"Mason City, IA",www.agventuresalliance.com,,,,,,,,,,,,,,,
Antoine Loison,Aglaé Ventures,Software,,"AdTech,Artificial Intelligence & Machine Learning,Big Data,SaaS",Venture Capital,www.aglaeventures.com,"France, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",100.00,0.10,"Paris, France",www.aglaeventures.com,,,,,,,,,,,,,,,
Karen Kerr,Agile Equities,Pharmaceuticals and Biotechnology,,HealthTech,Venture Capital,www.agile-equities.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",10.00,1.00,"New York, NY",www.agile-equities.com,,,,,,,,,,,,,,,
Steven T. Stull,Advantage Capital (Saint Louis),"Apparel and Accessories,Commercial Products,Commercial Services,Commercial Transportation,Communications and Networking,Computer Hardware,Consumer Durables,Consumer Non-Durables,Energy Equipment,Energy Services,Exploration,Production and Refining,Healthcare Devices and Supplies,Healthcare Technology Systems,IT Services,Media,Other Business Products and Services,Other Consumer Products and Services,Other Energy,Other Information Technology,Pharmaceuticals and Biotechnology,Restaurants,Hotels and Leisure,Retail,Semiconductors,Services (Non-Financial),Software,Transportation,Utilities",,"AgTech,CleanTech,E-Commerce,HealthTech,Impact Investing,Industrials,Internet of Things,Life Sciences,LOHAS & Wellness,Manufacturing,Oil & Gas,SaaS,TMT",Venture Capital,www.advantagecap.com,"Alabama, Colorado, DC Metro, Florida, Hawaii, Louisiana, Mississippi, New York, Wisconsin","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed","Debt,Loan",15.00,2.00,"Saint Louis, MO",www.advantagecap.com,,,,,,,,,,,,,,,
